"SKU","Tamanho Pedido","Loja","Data da Venda","Código Cliente","Preço Unitário","Faturamento","Marca","Categoria"
"HL1018","5","Porto Alegre","1/1/2016","64","R$ 1,200.00","R$ 6,000.00","Xiaomi","Smart Watch"
"HL1001","2","Fortaleza","1/1/2016","796","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1008","1","Rio de Janeiro","1/1/2016","374","R$ 2,000.00","R$ 2,000.00","Philco","Televisão"
"HL1021","1","Recife","1/1/2016","165","R$ 3,000.00","R$ 3,000.00","Samsung","Celular"
"HL1008","5","Salvador","1/1/2016","712","R$ 2,000.00","R$ 10,000.00","Philco","Televisão"
"HL1020","4","Recife","1/1/2016","144","R$ 1,500.00","R$ 6,000.00","Motorola","Celular"
"HL1019","2","São Paulo","1/1/2016","698","R$ 6,500.00","R$ 13,000.00","Apple","Celular"
"HL1021","3","Rio de Janeiro","1/1/2016","3","R$ 3,000.00","R$ 9,000.00","Samsung","Celular"
"HL1013","2","Salvador","1/1/2016","559","R$ 1,550.00","R$ 3,100.00","Nikon","Câmera"
"HL1005","4","Nova Iguaçu","1/1/2016","569","R$ 1,500.00","R$ 6,000.00","Canon","Câmera"
"HL1007","4","Campinas","1/1/2016","510","R$ 2,300.00","R$ 9,200.00","Dell","Notebook"
"HL1021","5","Fortaleza","1/1/2016","163","R$ 3,000.00","R$ 15,000.00","Samsung","Celular"
"HL1008","5","São Paulo","1/1/2016","57","R$ 2,000.00","R$ 10,000.00","Philco","Televisão"
"HL1024","5","Salvador","1/1/2016","481","R$ 2,400.00","R$ 12,000.00","Acer","Notebook"
"HL1009","4","Rio de Janeiro","1/1/2016","804","R$ 1,400.00","R$ 5,600.00","Motorola","Celular"
"HL1002","4","Fortaleza","1/1/2016","157","R$ 2,500.00","R$ 10,000.00","Apple","Celular"
"HL1007","3","São Paulo","1/1/2016","235","R$ 2,300.00","R$ 6,900.00","Dell","Notebook"
"HL1005","5","Rio de Janeiro","1/1/2016","148","R$ 1,500.00","R$ 7,500.00","Canon","Câmera"
"HL1014","3","Curitiba","1/1/2016","774","R$ 1,100.00","R$ 3,300.00","Samsung","Celular"
"HL1003","4","Curitiba","1/1/2016","560","R$ 4,500.00","R$ 18,000.00","Samsung","Celular"
"HL1001","5","São Paulo","1/1/2016","235","R$ 2,600.00","R$ 13,000.00","LG","Televisão"
"HL1010","2","Rio de Janeiro","1/1/2016","374","R$ 1,900.00","R$ 3,800.00","Apple","Celular"
"HL1008","4","Guarulhos","1/1/2016","630","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1024","2","Recife","1/1/2016","513","R$ 2,400.00","R$ 4,800.00","Acer","Notebook"
"HL1014","3","Goiânia","1/1/2016","161","R$ 1,100.00","R$ 3,300.00","Samsung","Celular"
"HL1009","1","Goiânia","1/1/2016","291","R$ 1,400.00","R$ 1,400.00","Motorola","Celular"
"HL1023","5","Salvador","1/1/2016","232","R$ 1,500.00","R$ 7,500.00","Samsung","Notebook"
"HL1013","4","São Paulo","1/1/2016","57","R$ 1,550.00","R$ 6,200.00","Nikon","Câmera"
"HL1008","4","São Paulo","1/1/2016","429","R$ 2,000.00","R$ 8,000.00","Philco","Televisão"
"HL1003","4","Rio de Janeiro","1/1/2016","248","R$ 4,500.00","R$ 18,000.00","Samsung","Celular"
"HL1002","3","São Paulo","1/1/2016","429","R$ 2,500.00","R$ 7,500.00","Apple","Celular"
"HL1002","3","Nova Iguaçu","1/1/2016","452","R$ 2,500.00","R$ 7,500.00","Apple","Celular"
"HL1007","2","Fortaleza","1/1/2016","286","R$ 2,300.00","R$ 4,600.00","Dell","Notebook"
"HL1019","4","Belo Horizonte","2/1/2016","508","R$ 6,500.00","R$ 26,000.00","Apple","Celular"
"HL1008","1","Rio de Janeiro","2/1/2016","589","R$ 2,000.00","R$ 2,000.00","Philco","Televisão"
"HL1001","4","Recife","2/1/2016","820","R$ 2,600.00","R$ 10,400.00","LG","Televisão"
"HL1005","5","Recife","2/1/2016","459","R$ 1,500.00","R$ 7,500.00","Canon","Câmera"
"HL1005","3","Campinas","2/1/2016","635","R$ 1,500.00","R$ 4,500.00","Canon","Câmera"
"HL1009","1","Fortaleza","2/1/2016","458","R$ 1,400.00","R$ 1,400.00","Motorola","Celular"
"HL1019","2","São Paulo","2/1/2016","797","R$ 6,500.00","R$ 13,000.00","Apple","Celular"
"HL1005","5","São Paulo","2/1/2016","773","R$ 1,500.00","R$ 7,500.00","Canon","Câmera"
"HL1023","5","Rio de Janeiro","2/1/2016","213","R$ 1,500.00","R$ 7,500.00","Samsung","Notebook"
"HL1007","5","Belo Horizonte","2/1/2016","186","R$ 2,300.00","R$ 11,500.00","Dell","Notebook"
"HL1001","2","São Paulo","2/1/2016","202","R$ 2,600.00","R$ 5,200.00","LG","Televisão"
"HL1021","5","Fortaleza","2/1/2016","612","R$ 3,000.00","R$ 15,000.00","Samsung","Celular"
